Name,layer,Catchment,COUNTYID,COUNTYCODE,COUNTYNAME,COUNTYENG
涼山瀑布三層 Liangshan Waterfall 3rd Tier,waterfall,oxbow_creek_river,T,10013,屏東縣,Pingtung County
涼山瀑布二層 Liangshan Waterfall 2nd Tier,waterfall,oxbow_creek_river,T,10013,屏東縣,Pingtung County
観音瀑布 Guanyin Waterfall,waterfall,caidie,M,10008,南投縣,Nantou County
游泳池 Swimming Pool,waterfall,cao_shan_river,Q,10010,嘉義縣,Chiayi County
合流瀑布 Converging Waterfall,waterfall,cao_shan_river,Q,10010,嘉義縣,Chiayi County
連雲瀑布 Lianyun Waterfall,waterfall,cao_shan_river,Q,10010,嘉義縣,Chiayi County
長龍瀑布 Long Dragon Waterfall,waterfall,long_dragon,E,64000,高雄市,Kaohsiung City
三龍瀑布 Three Dragons Waterfall,waterfall,cao_shan_river,Q,10010,嘉義縣,Chiayi County
大智瀑布 Dazhi Waterfall,waterfall,dai_zhi,E,64000,高雄市,Kaohsiung City
蝙蝠洞瀑布 Bat Cave Waterfall,waterfall,bat_cave,D,67000,臺南市,Tainan City
人工瀑布 Manmade Waterfall  ,waterfall,sileng,G,10002,宜蘭縣,Yilan County
人工瀑布 Manmade Waterfall  ,waterfall,taman,G,10002,宜蘭縣,Yilan County
人工瀑布 Manmade Waterfall  ,waterfall,tieshan,G,10002,宜蘭縣,Yilan County
北橫64K湖 Northern Cross Highway 64Km lake,waterfall,sileng,G,10002,宜蘭縣,Yilan County
北橫64K湖 Northern Cross Highway 64Km lake,waterfall,taman,G,10002,宜蘭縣,Yilan County
北橫64K湖 Northern Cross Highway 64Km lake,waterfall,tieshan,G,10002,宜蘭縣,Yilan County
口社瀑布 Koushe Waterfall,waterfall,koushe_river,T,10013,屏東縣,Pingtung County
阿拉溪鞋瀑布群 Ala Stream Waterfalls Group,waterfall,nanxi,D,67000,臺南市,Tainan City
阿拉溪鞋瀑布群 Ala Stream Waterfalls Group,waterfall,nanxi,D,67000,臺南市,Tainan City
阿拉溪鞋瀑布群 Ala Stream Waterfalls Group,waterfall,nanxi,D,67000,臺南市,Tainan City
摩摩納爾瀑布 Momonaer Waterfall,waterfall,momonaer,M,10008,南投縣,Nantou County
東卯溪瀑布 Dongmao River Waterfall,waterfall,dongmao,B,66000,臺中市,Taichung City
扇子瀑布 Fan Waterfall ,waterfall,maple,G,10002,宜蘭縣,Yilan County
仙女瀑布 Xiannu Waterfall,waterfall,xiannu,B,66000,臺中市,Taichung City
德文情人湖 Lover's Lake,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
澳花瀑布 Aohua Waterfall,waterfall,aohua,G,10002,宜蘭縣,Yilan County
帖比倫瀑布  Tiebilun Waterfall,waterfall,ruiyan,M,10008,南投縣,Nantou County
少年溪鴛鴦瀑布 Shaonian River Yuanyang Waterfall,waterfall,long_dragon,E,64000,高雄市,Kaohsiung City
小旗湖瀑布 Flag Lake Waterfall,waterfall,flag_lake_waterfall,M,10008,南投縣,Nantou County
鳳凰瀑布 Fenghuang Waterfall,waterfall,fenghuang,Q,10010,嘉義縣,Chiayi County
鳳凰瀑布 2 Fenghuang Waterfall 2,waterfall,fenghuang,Q,10010,嘉義縣,Chiayi County
立芹瀑布 Liqin Waterfall,waterfall,liqin,U,10015,花蓮縣,Hualien County
撒固兒瀑布 Saguer Waterfall,waterfall,saguer,U,10015,花蓮縣,Hualien County
彩蝶瀑布 Caidie Waterfal,waterfall,caidie,M,10008,南投縣,Nantou County
德文天鵝湖瀑布  Swan Lake Waterfall,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
鳳瀑布 Pheonix Waterfall,waterfall,dragon_phenix,M,10008,南投縣,Nantou County
龍瀑布 Dragon Waterfall,waterfall,dragon_phenix,M,10008,南投縣,Nantou County
蝴蝶谷瀑布 Butterfly Valley Waterfall,waterfall,butterfly_valley,B,66000,臺中市,Taichung City
小岩瀑布 Little Rock Waterfall,waterfall,xiaojinping,J,10004,新竹縣,Hsinchu County
蚯蚓坑  The Wormhole,waterfall,wormhole,F,65000,新北市,New Taipei City
錦屏溪瀑布左 Jinping River Waterfall Left ,waterfall,xiaojinping,J,10004,新竹縣,Hsinchu County
阿瑪灣瀑布群 Amawan Waterfalls Group,waterfall,amawan,T,10013,屏東縣,Pingtung County
阿瑪灣瀑布群 Amawan Waterfalls Group,waterfall,amawan,T,10013,屏東縣,Pingtung County
灰窯瀑布下 Lower Huiyao Waterfall,waterfall,huiyao,F,65000,新北市,New Taipei City
灰窯瀑布上 Upper Huiyao Waterfall,waterfall,huiyao,F,65000,新北市,New Taipei City
水載下瀑布 Shuizaixia Waterfall,waterfall,shuizaixia,K,10005,苗栗縣,Miaoli County
霧台瀑布 Wutai Waterfall,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
澀仔坑湖瀑布 Sezikeng Lake Waterfall,waterfall,sezikeng,M,10008,南投縣,Nantou County
富山瀑布 Fushan Waterfall,waterfall,cao_shan_river,Q,10010,嘉義縣,Chiayi County
精英瀑布 Jingying Waterfall ,waterfall,jingying,M,10008,南投縣,Nantou County
神仙谷瀑布 Valley of the Gods Waterfall,waterfall,god_valley,K,10005,苗栗縣,Miaoli County
七分醉瀑布 7-layer Waterfall,waterfall,god_valley,K,10005,苗栗縣,Miaoli County
水雲瀑布 Shuiyun Waterfall,waterfall,shuiyun,K,10005,苗栗縣,Miaoli County
大石門瀑布 Dashimen Waterfall,waterfall,shuiyun,K,10005,苗栗縣,Miaoli County
苦花潭瀑布 Kuhua Pond Waterfall,waterfall,god_valley,K,10005,苗栗縣,Miaoli County
